ID,Journal,Papers in 2025 (all authors),Papers with NIH funding,journal share of NIH funded papers in 2025,Cumulative number of NIH funded papers,Cumulative % NIH,Cumulative number of journals,Cumulative % of journals,ISSN,eISSN,Publisher,oa_status,apc_usd,apc_usd_originalORconverted,manual_link,comment,Publisher category
jour.1050291,Microbiology Spectrum,1546,194,0.125485123,23145,20.35942366,53,0.690913831,0,2165-0497,American Society for Microbiology,Gold OA,3450,original,https://web.archive.org/web/20250607032201/https://journals.asm.org/publication-fees,0,not for profit
jour.1346339,Science,907,191,0.210584344,23336,20.52743618,54,0.703949941,0036-8075,1095-9203,American Association for the Advancement of Science (AAAS),Closed,,no APC option,0,0,not for profit
jour.1454986,Imaging Neuroscience,443,187,0.422121896,23523,20.69193012,55,0.716986051,0,2837-6056,MIT Press,Gold OA,1600,original,https://web.archive.org/web/20250627132935/https://direct.mit.edu/journals/pages/open-access,0,not for profit
jour.1046624,Journal of the American Heart Association,1191,185,0.155331654,23708,20.85466477,56,0.730022161,0,2047-9980,Wolters Kluwer,Gold OA,3810,original,https://web.archive.org/web/20250729134534/https://www.ahajournals.org/jaha/open-access,0,for profit
jour.1284357,Journal of Clinical and Translational Science,238,184,0.773109244,23892,21.01651977,57,0.743058271,0,2059-8661,Cambridge University Press (CUP),Gold OA,3200,original,0,0,not for profit
jour.1428449,JACC Advances,547,181,0.330895795,24073,21.17573582,58,0.756094381,0,2772-963X,Elsevier,Gold OA,2936,original,0,0,for profit
jour.1115540,Molecular Psychiatry,501,180,0.359281437,24253,21.33407224,59,0.769130491,1359-4184,1476-5578,Springer Nature,Hybrid OA,5490,original,0,0,for profit
jour.1077134,The Journal of Immunology,361,179,0.495844875,24432,21.491529,60,0.782166601,0022-1767,1550-6606,Oxford University Press (OUP),Hybrid OA,3500,original,0,0,not for profit
jour.1047869,JMIR Research Protocols,1009,179,0.17740337,24611,21.64898577,61,0.795202712,0,1929-0748,JMIR Publications,Gold OA,1900,original,https://web.archive.org/web/20250612215913/https://www.researchprotocols.org/about-journal/article-processing-fees,"$950: For previously peer-reviewed protocols and grant proposals, if existing grant agency peer-review reports are provided (as Multimedia Appendix or supplementary file for reviewers/editors) which are of sufficient quality so that the manuscript does not have to be reviewed in detail externally (in submission step 1, choose a submission section which says ""already funded"")
$1900: For regular articles, non-peer-reviewed/approved protocols/proposals, early reports, methods, etc.",for profit
jour.1041454,Science Translational Medicine,320,178,0.55625,24789,21.80556289,62,0.808238822,1946-6234,1946-6242,American Association for the Advancement of Science (AAAS),Closed,,no APC option,0,0,not for profit
jour.1034974,PLOS Genetics,393,177,0.450381679,24966,21.96126036,63,0.821274932,1553-7390,1553-7404,Public Library of Science (PLoS),Gold OA,3043,original,0,0,not for profit
jour.1300579,npj Digital Medicine,816,175,0.214460784,25141,22.11519854,64,0.834311042,0,2398-6352,Springer Nature,Gold OA,4090,original,0,0,for profit
jour.1098485,Neuron,342,174,0.50877193,25315,22.26825707,65,0.847347152,0896-6273,1097-4199,Elsevier,Hybrid OA,10400,original,0,0,for profit
jour.1017574,Cancer,368,172,0.467391304,25487,22.41955631,66,0.860383262,1097-0142,0008-543X,Wiley,Hybrid OA,4790,original,0,0,for profit
jour.1297149,Contemporary Clinical Trials,290,171,0.589655172,25658,22.5699759,67,0.873419372,1551-7144,1559-2030,Elsevier,Hybrid OA,3140,original,0,0,for profit
jour.1081904,Journal of the American Geriatrics Society,320,170,0.53125,25828,22.71951584,68,0.886455482,0002-8614,1532-5415,Wiley,Hybrid OA,4760,original,0,0,for profit
jour.1032549,PLOS Biology,547,169,0.308957952,25997,22.86817614,69,0.899491592,1544-9173,1545-7885,Public Library of Science (PLoS),Gold OA,5500,original,0,0,not for profit
jour.1412796,Biochemistry,372,168,0.451612903,26165,23.01595679,70,0.912527702,0006-2960,1520-4995,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
jour.1017044,Angewandte Chemie International Edition,5352,168,0.031390135,26333,23.16373744,71,0.925563812,1433-7851,1521-3773,Wiley,Hybrid OA,5510,original,0,0,for profit
